city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,總 計,計,443351 ,25046 ,4045 ,4712 ,5193 ,5643 ,5453 ,26689 ,6098 ,5802 ,4798 ,4932 ,5059 ,25045 ,5309 ,4951 ,4947 ,4969 ,4869 ,26976 ,5210 ,5202 ,5897 ,5523 ,5144 ,28051 ,5440 ,5809 ,5799 ,5454 ,5549 ,27489 ,5532 ,5257 ,5613 ,5498 ,5589 ,30596 ,5465 ,5484 ,5833 ,6614 ,7200 ,42487 ,7760 ,8334 ,8815 ,8863 ,8715 ,39259 ,8135 ,8859 ,7901 ,7410 ,6954 ,34910 ,6925 ,7046 ,7043 ,6993 ,6903 ,31333 ,6450 ,6131 ,6317 ,6305 ,6130 ,28934 ,6086 ,5934 ,5650 ,5622 ,5642 ,24606 ,5053 ,4914 ,4967 ,5043 ,4629 ,19346 ,4363 ,4363 ,3975 ,3401 ,3244 ,11068 ,2657 ,2513 ,1760 ,2010 ,2128 ,9184 ,2019 ,1934 ,1858 ,1758 ,1615 ,6013 ,1401 ,1348 ,1173 ,1141 ,950 ,3967 ,932 ,837 ,828 ,755 ,615 ,1865 ,531 ,461 ,358 ,283 ,232 ,418 ,155 ,99 ,84 ,54 ,26 ,69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,總 計,男,218722 ,12878 ,2057 ,2402 ,2666 ,2917 ,2836 ,13886 ,3119 ,3057 ,2490 ,2535 ,2685 ,13101 ,2845 ,2529 ,2620 ,2567 ,2540 ,14061 ,2733 ,2687 ,3067 ,2860 ,2714 ,14436 ,2814 ,3014 ,2990 ,2813 ,2805 ,14207 ,2862 ,2734 ,2936 ,2806 ,2869 ,15020 ,2769 ,2719 ,2891 ,3169 ,3472 ,20317 ,3747 ,3976 ,4183 ,4240 ,4171 ,19125 ,3886 ,4305 ,3849 ,3630 ,3455 ,17091 ,3355 ,3438 ,3488 ,3406 ,3404 ,15642 ,3229 ,3037 ,3147 ,3161 ,3068 ,14178 ,2992 ,2956 ,2748 ,2716 ,2766 ,11670 ,2471 ,2259 ,2364 ,2361 ,2215 ,8955 ,2040 ,2029 ,1842 ,1567 ,1477 ,4978 ,1246 ,1160 ,786 ,859 ,927 ,3811 ,851 ,828 ,764 ,709 ,659 ,2407 ,559 ,548 ,467 ,464 ,369 ,1796 ,393 ,392 ,382 ,350 ,279 ,932 ,262 ,232 ,189 ,135 ,114 ,197 ,73 ,49 ,40 ,25 ,10 ,34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,總 計,女,224629 ,12168 ,1988 ,2310 ,2527 ,2726 ,2617 ,12803 ,2979 ,2745 ,2308 ,2397 ,2374 ,11944 ,2464 ,2422 ,2327 ,2402 ,2329 ,12915 ,2477 ,2515 ,2830 ,2663 ,2430 ,13615 ,2626 ,2795 ,2809 ,2641 ,2744 ,13282 ,2670 ,2523 ,2677 ,2692 ,2720 ,15576 ,2696 ,2765 ,2942 ,3445 ,3728 ,22170 ,4013 ,4358 ,4632 ,4623 ,4544 ,20134 ,4249 ,4554 ,4052 ,3780 ,3499 ,17819 ,3570 ,3608 ,3555 ,3587 ,3499 ,15691 ,3221 ,3094 ,3170 ,3144 ,3062 ,14756 ,3094 ,2978 ,2902 ,2906 ,2876 ,12936 ,2582 ,2655 ,2603 ,2682 ,2414 ,10391 ,2323 ,2334 ,2133 ,1834 ,1767 ,6090 ,1411 ,1353 ,974 ,1151 ,1201 ,5373 ,1168 ,1106 ,1094 ,1049 ,956 ,3606 ,842 ,800 ,706 ,677 ,581 ,2171 ,539 ,445 ,446 ,405 ,336 ,933 ,269 ,229 ,169 ,148 ,118 ,221 ,82 ,50 ,44 ,29 ,16 ,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,東區,計,214339 ,13041 ,1962 ,2387 ,2724 ,3013 ,2955 ,15373 ,3366 ,3262 ,2801 ,2922 ,3022 ,14668 ,3136 ,3035 ,3015 ,2808 ,2674 ,13404 ,2708 ,2635 ,2930 ,2700 ,2431 ,12706 ,2562 ,2684 ,2577 ,2410 ,2473 ,12151 ,2459 ,2299 ,2475 ,2411 ,2507 ,13857 ,2458 ,2472 ,2642 ,3005 ,3280 ,20379 ,3604 ,3966 ,4197 ,4323 ,4289 ,19633 ,4054 ,4422 ,4021 ,3698 ,3438 ,16901 ,3435 ,3404 ,3436 ,3327 ,3299 ,14497 ,3002 ,2859 ,2908 ,2900 ,2828 ,12888 ,2701 ,2624 ,2538 ,2463 ,2562 ,10906 ,2270 ,2220 ,2209 ,2220 ,1987 ,8724 ,1990 ,1938 ,1782 ,1543 ,1471 ,5001 ,1193 ,1159 ,801 ,894 ,954 ,4254 ,924 ,887 ,849 ,824 ,770 ,2878 ,668 ,669 ,555 ,549 ,437 ,1913 ,451 ,402 ,382 ,372 ,306 ,904 ,259 ,217 ,180 ,141 ,107 ,221 ,81 ,54 ,46 ,28 ,12 ,40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,東區,男,105440 ,6717 ,988 ,1208 ,1420 ,1568 ,1533 ,8021 ,1720 ,1741 ,1456 ,1497 ,1607 ,7710 ,1704 ,1567 ,1577 ,1466 ,1396 ,6922 ,1395 ,1334 ,1514 ,1398 ,1281 ,6570 ,1341 ,1387 ,1346 ,1231 ,1265 ,6266 ,1265 ,1175 ,1304 ,1224 ,1298 ,6696 ,1230 ,1213 ,1286 ,1404 ,1563 ,9500 ,1734 ,1884 ,1932 ,1999 ,1951 ,9376 ,1880 ,2081 ,1954 ,1774 ,1687 ,8231 ,1654 ,1607 ,1683 ,1627 ,1660 ,7253 ,1532 ,1406 ,1439 ,1463 ,1413 ,6412 ,1321 ,1316 ,1275 ,1235 ,1265 ,5199 ,1104 ,1036 ,1056 ,1035 ,968 ,4021 ,953 ,919 ,803 ,697 ,649 ,2220 ,551 ,522 ,361 ,385 ,401 ,1737 ,381 ,367 ,334 ,355 ,300 ,1142 ,279 ,257 ,209 ,231 ,166 ,871 ,190 ,198 ,178 ,172 ,133 ,448 ,130 ,104 ,95 ,71 ,48 ,106 ,44 ,23 ,20 ,14 ,5 ,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,東區,女,108899 ,6324 ,974 ,1179 ,1304 ,1445 ,1422 ,7352 ,1646 ,1521 ,1345 ,1425 ,1415 ,6958 ,1432 ,1468 ,1438 ,1342 ,1278 ,6482 ,1313 ,1301 ,1416 ,1302 ,1150 ,6136 ,1221 ,1297 ,1231 ,1179 ,1208 ,5885 ,1194 ,1124 ,1171 ,1187 ,1209 ,7161 ,1228 ,1259 ,1356 ,1601 ,1717 ,10879 ,1870 ,2082 ,2265 ,2324 ,2338 ,10257 ,2174 ,2341 ,2067 ,1924 ,1751 ,8670 ,1781 ,1797 ,1753 ,1700 ,1639 ,7244 ,1470 ,1453 ,1469 ,1437 ,1415 ,6476 ,1380 ,1308 ,1263 ,1228 ,1297 ,5707 ,1166 ,1184 ,1153 ,1185 ,1019 ,4703 ,1037 ,1019 ,979 ,846 ,822 ,2781 ,642 ,637 ,440 ,509 ,553 ,2517 ,543 ,520 ,515 ,469 ,470 ,1736 ,389 ,412 ,346 ,318 ,271 ,1042 ,261 ,204 ,204 ,200 ,173 ,456 ,129 ,113 ,85 ,70 ,59 ,115 ,37 ,31 ,26 ,14 ,7 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,北區,計,150881 ,7759 ,1322 ,1438 ,1581 ,1751 ,1667 ,8083 ,1882 ,1831 ,1443 ,1462 ,1465 ,7132 ,1548 ,1381 ,1353 ,1447 ,1403 ,8841 ,1655 ,1704 ,1891 ,1832 ,1759 ,9788 ,1842 ,1997 ,2063 ,1951 ,1935 ,9623 ,1917 ,1855 ,1947 ,1954 ,1950 ,10641 ,1889 ,1943 ,2034 ,2277 ,2498 ,14174 ,2634 ,2776 ,2945 ,2943 ,2876 ,12833 ,2616 ,2993 ,2536 ,2425 ,2263 ,11861 ,2283 ,2429 ,2348 ,2431 ,2370 ,11080 ,2345 ,2159 ,2246 ,2206 ,2124 ,10466 ,2208 ,2167 ,2018 ,2053 ,2020 ,9169 ,1898 ,1795 ,1849 ,1864 ,1763 ,7274 ,1550 ,1681 ,1489 ,1333 ,1221 ,4187 ,1017 ,932 ,651 ,753 ,834 ,3414 ,763 ,707 ,713 ,667 ,564 ,2189 ,523 ,472 ,450 ,391 ,353 ,1486 ,340 ,302 ,320 ,288 ,236 ,718 ,201 ,177 ,139 ,107 ,94 ,147 ,58 ,32 ,29 ,23 ,5 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,北區,男,73635 ,3959 ,681 ,735 ,799 ,880 ,864 ,4192 ,958 ,956 ,740 ,748 ,790 ,3676 ,817 ,671 ,743 ,746 ,699 ,4621 ,875 ,887 ,997 ,947 ,915 ,5012 ,930 ,1020 ,1049 ,1018 ,995 ,5017 ,1006 ,971 ,1021 ,1026 ,993 ,5224 ,969 ,952 ,1016 ,1113 ,1174 ,6754 ,1234 ,1298 ,1376 ,1417 ,1429 ,6160 ,1219 ,1459 ,1208 ,1176 ,1098 ,5723 ,1071 ,1191 ,1159 ,1171 ,1131 ,5461 ,1136 ,1062 ,1098 ,1091 ,1074 ,4991 ,1072 ,1056 ,956 ,930 ,977 ,4260 ,923 ,789 ,866 ,860 ,822 ,3337 ,700 ,770 ,696 ,622 ,549 ,1876 ,477 ,434 ,288 ,306 ,371 ,1377 ,312 ,290 ,292 ,249 ,234 ,869 ,196 ,195 ,184 ,158 ,136 ,659 ,138 ,127 ,148 ,136 ,110 ,383 ,102 ,98 ,77 ,51 ,55 ,76 ,25 ,19 ,19 ,10 ,3 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,北區,女,77246 ,3800 ,641 ,703 ,782 ,871 ,803 ,3891 ,924 ,875 ,703 ,714 ,675 ,3456 ,731 ,710 ,610 ,701 ,704 ,4220 ,780 ,817 ,894 ,885 ,844 ,4776 ,912 ,977 ,1014 ,933 ,940 ,4606 ,911 ,884 ,926 ,928 ,957 ,5417 ,920 ,991 ,1018 ,1164 ,1324 ,7420 ,1400 ,1478 ,1569 ,1526 ,1447 ,6673 ,1397 ,1534 ,1328 ,1249 ,1165 ,6138 ,1212 ,1238 ,1189 ,1260 ,1239 ,5619 ,1209 ,1097 ,1148 ,1115 ,1050 ,5475 ,1136 ,1111 ,1062 ,1123 ,1043 ,4909 ,975 ,1006 ,983 ,1004 ,941 ,3937 ,850 ,911 ,793 ,711 ,672 ,2311 ,540 ,498 ,363 ,447 ,463 ,2037 ,451 ,417 ,421 ,418 ,330 ,1320 ,327 ,277 ,266 ,233 ,217 ,827 ,202 ,175 ,172 ,152 ,126 ,335 ,99 ,79 ,62 ,56 ,39 ,71 ,33 ,13 ,10 ,13 ,2 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,香山區,計,78131 ,4246 ,761 ,887 ,888 ,879 ,831 ,3233 ,850 ,709 ,554 ,548 ,572 ,3245 ,625 ,535 ,579 ,714 ,792 ,4731 ,847 ,863 ,1076 ,991 ,954 ,5557 ,1036 ,1128 ,1159 ,1093 ,1141 ,5715 ,1156 ,1103 ,1191 ,1133 ,1132 ,6098 ,1118 ,1069 ,1157 ,1332 ,1422 ,7934 ,1522 ,1592 ,1673 ,1597 ,1550 ,6793 ,1465 ,1444 ,1344 ,1287 ,1253 ,6148 ,1207 ,1213 ,1259 ,1235 ,1234 ,5756 ,1103 ,1113 ,1163 ,1199 ,1178 ,5580 ,1177 ,1143 ,1094 ,1106 ,1060 ,4531 ,885 ,899 ,909 ,959 ,879 ,3348 ,823 ,744 ,704 ,525 ,552 ,1880 ,447 ,422 ,308 ,363 ,340 ,1516 ,332 ,340 ,296 ,267 ,281 ,946 ,210 ,207 ,168 ,201 ,160 ,568 ,141 ,133 ,126 ,95 ,73 ,243 ,71 ,67 ,39 ,35 ,31 ,50 ,16 ,13 ,9 ,3 ,9 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
