city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21,
新竹市,總 計,計,443581 ,25038 ,4015 ,4662 ,5227 ,5673 ,5461 ,26700 ,5992 ,5901 ,4855 ,4901 ,5051 ,25049 ,5315 ,4931 ,4999 ,4923 ,4881 ,26948 ,5173 ,5207 ,5822 ,5576 ,5170 ,27973 ,5332 ,5829 ,5786 ,5496 ,5530 ,27488 ,5501 ,5297 ,5597 ,5515 ,5578 ,30480 ,5454 ,5510 ,5752 ,6598 ,7166 ,42470 ,7726 ,8323 ,8799 ,8896 ,8726 ,39422 ,8221 ,8775 ,7989 ,7445 ,6992 ,34894 ,6869 ,7080 ,7021 ,7004 ,6920 ,31390 ,6488 ,6174 ,6329 ,6309 ,6090 ,28951 ,6117 ,5970 ,5638 ,5619 ,5607 ,24676 ,5174 ,4891 ,4961 ,5032 ,4618 ,19501 ,4424 ,4387 ,4031 ,3400 ,3259 ,11058 ,2620 ,2561 ,1753 ,1999 ,2125 ,9188 ,2037 ,1961 ,1828 ,1752 ,1610 ,6025 ,1418 ,1370 ,1164 ,1118 ,955 ,3966 ,942 ,837 ,811 ,756 ,620 ,1867 ,541 ,455 ,353 ,288 ,230 ,428 ,167 ,97 ,86 ,51 ,27 ,69 ,
新竹市,總 計,男,218854 ,12856 ,2039 ,2397 ,2666 ,2936 ,2818 ,13911 ,3085 ,3096 ,2510 ,2530 ,2690 ,13101 ,2861 ,2523 ,2621 ,2551 ,2545 ,14062 ,2717 ,2695 ,3050 ,2871 ,2729 ,14412 ,2744 ,3051 ,2954 ,2852 ,2811 ,14196 ,2836 ,2742 ,2925 ,2835 ,2858 ,14978 ,2777 ,2739 ,2841 ,3191 ,3430 ,20314 ,3700 ,4002 ,4193 ,4263 ,4156 ,19208 ,3930 ,4252 ,3887 ,3672 ,3467 ,17044 ,3323 ,3462 ,3478 ,3411 ,3370 ,15686 ,3278 ,3045 ,3158 ,3155 ,3050 ,14203 ,3021 ,2970 ,2757 ,2700 ,2755 ,11693 ,2541 ,2225 ,2349 ,2369 ,2209 ,9030 ,2071 ,2039 ,1869 ,1556 ,1495 ,4976 ,1226 ,1196 ,789 ,837 ,928 ,3818 ,866 ,835 ,748 ,710 ,659 ,2414 ,565 ,552 ,461 ,458 ,378 ,1781 ,384 ,390 ,377 ,350 ,280 ,932 ,265 ,229 ,192 ,136 ,110 ,205 ,82 ,46 ,43 ,24 ,10 ,34 ,
新竹市,總 計,女,224727 ,12182 ,1976 ,2265 ,2561 ,2737 ,2643 ,12789 ,2907 ,2805 ,2345 ,2371 ,2361 ,11948 ,2454 ,2408 ,2378 ,2372 ,2336 ,12886 ,2456 ,2512 ,2772 ,2705 ,2441 ,13561 ,2588 ,2778 ,2832 ,2644 ,2719 ,13292 ,2665 ,2555 ,2672 ,2680 ,2720 ,15502 ,2677 ,2771 ,2911 ,3407 ,3736 ,22156 ,4026 ,4321 ,4606 ,4633 ,4570 ,20214 ,4291 ,4523 ,4102 ,3773 ,3525 ,17850 ,3546 ,3618 ,3543 ,3593 ,3550 ,15704 ,3210 ,3129 ,3171 ,3154 ,3040 ,14748 ,3096 ,3000 ,2881 ,2919 ,2852 ,12983 ,2633 ,2666 ,2612 ,2663 ,2409 ,10471 ,2353 ,2348 ,2162 ,1844 ,1764 ,6082 ,1394 ,1365 ,964 ,1162 ,1197 ,5370 ,1171 ,1126 ,1080 ,1042 ,951 ,3611 ,853 ,818 ,703 ,660 ,577 ,2185 ,558 ,447 ,434 ,406 ,340 ,935 ,276 ,226 ,161 ,152 ,120 ,223 ,85 ,51 ,43 ,27 ,17 ,35 ,
新竹市,東區,計,214333 ,13070 ,1961 ,2344 ,2766 ,3014 ,2985 ,15368 ,3288 ,3308 ,2850 ,2892 ,3030 ,14659 ,3128 ,2997 ,3063 ,2771 ,2700 ,13350 ,2663 ,2642 ,2883 ,2720 ,2442 ,12675 ,2519 ,2691 ,2568 ,2420 ,2477 ,12163 ,2458 ,2302 ,2462 ,2398 ,2543 ,13765 ,2439 ,2487 ,2614 ,2998 ,3227 ,20376 ,3587 ,3974 ,4184 ,4331 ,4300 ,19697 ,4121 ,4347 ,4061 ,3749 ,3419 ,16899 ,3398 ,3437 ,3425 ,3313 ,3326 ,14481 ,3003 ,2880 ,2900 ,2895 ,2803 ,12882 ,2727 ,2645 ,2510 ,2477 ,2523 ,10953 ,2355 ,2195 ,2203 ,2232 ,1968 ,8791 ,1997 ,1958 ,1815 ,1543 ,1478 ,5000 ,1187 ,1163 ,813 ,885 ,952 ,4248 ,935 ,905 ,830 ,828 ,750 ,2887 ,683 ,675 ,556 ,535 ,438 ,1903 ,453 ,396 ,378 ,370 ,306 ,900 ,263 ,214 ,177 ,139 ,107 ,227 ,90 ,53 ,45 ,27 ,12 ,39 ,
新竹市,東區,男,105441 ,6713 ,975 ,1203 ,1434 ,1558 ,1543 ,8026 ,1687 ,1756 ,1479 ,1495 ,1609 ,7716 ,1706 ,1557 ,1592 ,1451 ,1410 ,6896 ,1369 ,1336 ,1508 ,1397 ,1286 ,6556 ,1311 ,1406 ,1324 ,1246 ,1269 ,6282 ,1269 ,1177 ,1292 ,1239 ,1305 ,6644 ,1234 ,1218 ,1260 ,1413 ,1519 ,9525 ,1732 ,1895 ,1936 ,2017 ,1945 ,9401 ,1898 ,2050 ,1965 ,1810 ,1678 ,8197 ,1633 ,1639 ,1673 ,1605 ,1647 ,7259 ,1559 ,1407 ,1440 ,1456 ,1397 ,6419 ,1347 ,1320 ,1266 ,1235 ,1251 ,5214 ,1143 ,1023 ,1038 ,1055 ,955 ,4063 ,963 ,925 ,813 ,703 ,659 ,2217 ,545 ,530 ,366 ,369 ,407 ,1733 ,385 ,372 ,330 ,355 ,291 ,1145 ,280 ,261 ,213 ,222 ,169 ,858 ,188 ,187 ,176 ,174 ,133 ,446 ,131 ,105 ,91 ,73 ,46 ,109 ,49 ,22 ,20 ,14 ,4 ,22 ,
新竹市,東區,女,108892 ,6357 ,986 ,1141 ,1332 ,1456 ,1442 ,7342 ,1601 ,1552 ,1371 ,1397 ,1421 ,6943 ,1422 ,1440 ,1471 ,1320 ,1290 ,6454 ,1294 ,1306 ,1375 ,1323 ,1156 ,6119 ,1208 ,1285 ,1244 ,1174 ,1208 ,5881 ,1189 ,1125 ,1170 ,1159 ,1238 ,7121 ,1205 ,1269 ,1354 ,1585 ,1708 ,10851 ,1855 ,2079 ,2248 ,2314 ,2355 ,10296 ,2223 ,2297 ,2096 ,1939 ,1741 ,8702 ,1765 ,1798 ,1752 ,1708 ,1679 ,7222 ,1444 ,1473 ,1460 ,1439 ,1406 ,6463 ,1380 ,1325 ,1244 ,1242 ,1272 ,5739 ,1212 ,1172 ,1165 ,1177 ,1013 ,4728 ,1034 ,1033 ,1002 ,840 ,819 ,2783 ,642 ,633 ,447 ,516 ,545 ,2515 ,550 ,533 ,500 ,473 ,459 ,1742 ,403 ,414 ,343 ,313 ,269 ,1045 ,265 ,209 ,202 ,196 ,173 ,454 ,132 ,109 ,86 ,66 ,61 ,118 ,41 ,31 ,25 ,13 ,8 ,17 ,
新竹市,北區,計,151037 ,7735 ,1301 ,1434 ,1588 ,1759 ,1653 ,8114 ,1870 ,1864 ,1466 ,1471 ,1443 ,7156 ,1567 ,1392 ,1359 ,1437 ,1401 ,8838 ,1644 ,1694 ,1866 ,1871 ,1763 ,9762 ,1803 ,1997 ,2074 ,1972 ,1916 ,9618 ,1911 ,1876 ,1939 ,1980 ,1912 ,10615 ,1906 ,1943 ,1975 ,2285 ,2506 ,14182 ,2639 ,2756 ,2949 ,2935 ,2903 ,12888 ,2608 ,2988 ,2588 ,2407 ,2297 ,11845 ,2245 ,2446 ,2343 ,2437 ,2374 ,11102 ,2349 ,2176 ,2264 ,2209 ,2104 ,10490 ,2228 ,2160 ,2029 ,2051 ,2022 ,9186 ,1908 ,1805 ,1845 ,1864 ,1764 ,7325 ,1585 ,1688 ,1510 ,1309 ,1233 ,4184 ,990 ,973 ,649 ,741 ,831 ,3420 ,761 ,726 ,698 ,663 ,572 ,2195 ,525 ,485 ,444 ,389 ,352 ,1493 ,345 ,310 ,306 ,290 ,242 ,721 ,204 ,178 ,137 ,113 ,89 ,152 ,61 ,32 ,31 ,21 ,7 ,16 ,
新竹市,北區,男,73737 ,3957 ,683 ,737 ,791 ,896 ,850 ,4210 ,957 ,964 ,750 ,751 ,788 ,3686 ,827 ,680 ,732 ,743 ,704 ,4621 ,869 ,886 ,997 ,949 ,920 ,5003 ,914 ,1025 ,1038 ,1036 ,990 ,5007 ,996 ,978 ,1011 ,1041 ,981 ,5232 ,977 ,960 ,988 ,1126 ,1181 ,6739 ,1204 ,1310 ,1384 ,1403 ,1438 ,6194 ,1226 ,1439 ,1245 ,1173 ,1111 ,5708 ,1055 ,1189 ,1165 ,1178 ,1121 ,5475 ,1142 ,1068 ,1110 ,1091 ,1064 ,5010 ,1087 ,1055 ,966 ,924 ,978 ,4273 ,943 ,779 ,866 ,859 ,826 ,3353 ,710 ,775 ,714 ,596 ,558 ,1880 ,466 ,457 ,290 ,299 ,368 ,1385 ,316 ,299 ,279 ,252 ,239 ,873 ,203 ,195 ,176 ,162 ,137 ,658 ,133 ,137 ,142 ,135 ,111 ,384 ,102 ,98 ,81 ,51 ,52 ,81 ,29 ,18 ,21 ,9 ,4 ,8 ,
新竹市,北區,女,77300 ,3778 ,618 ,697 ,797 ,863 ,803 ,3904 ,913 ,900 ,716 ,720 ,655 ,3470 ,740 ,712 ,627 ,694 ,697 ,4217 ,775 ,808 ,869 ,922 ,843 ,4759 ,889 ,972 ,1036 ,936 ,926 ,4611 ,915 ,898 ,928 ,939 ,931 ,5383 ,929 ,983 ,987 ,1159 ,1325 ,7443 ,1435 ,1446 ,1565 ,1532 ,1465 ,6694 ,1382 ,1549 ,1343 ,1234 ,1186 ,6137 ,1190 ,1257 ,1178 ,1259 ,1253 ,5627 ,1207 ,1108 ,1154 ,1118 ,1040 ,5480 ,1141 ,1105 ,1063 ,1127 ,1044 ,4913 ,965 ,1026 ,979 ,1005 ,938 ,3972 ,875 ,913 ,796 ,713 ,675 ,2304 ,524 ,516 ,359 ,442 ,463 ,2035 ,445 ,427 ,419 ,411 ,333 ,1322 ,322 ,290 ,268 ,227 ,215 ,835 ,212 ,173 ,164 ,155 ,131 ,337 ,102 ,80 ,56 ,62 ,37 ,71 ,32 ,14 ,10 ,12 ,3 ,8 ,
新竹市,香山區,計,78211 ,4233 ,753 ,884 ,873 ,900 ,823 ,3218 ,834 ,729 ,539 ,538 ,578 ,3234 ,620 ,542 ,577 ,715 ,780 ,4760 ,866 ,871 ,1073 ,985 ,965 ,5536 ,1010 ,1141 ,1144 ,1104 ,1137 ,5707 ,1132 ,1119 ,1196 ,1137 ,1123 ,6100 ,1109 ,1080 ,1163 ,1315 ,1433 ,7912 ,1500 ,1593 ,1666 ,1630 ,1523 ,6837 ,1492 ,1440 ,1340 ,1289 ,1276 ,6150 ,1226 ,1197 ,1253 ,1254 ,1220 ,5807 ,1136 ,1118 ,1165 ,1205 ,1183 ,5579 ,1162 ,1165 ,1099 ,1091 ,1062 ,4537 ,911 ,891 ,913 ,936 ,886 ,3385 ,842 ,741 ,706 ,548 ,548 ,1874 ,443 ,425 ,291 ,373 ,342 ,1520 ,341 ,330 ,300 ,261 ,288 ,943 ,210 ,210 ,164 ,194 ,165 ,570 ,144 ,131 ,127 ,96 ,72 ,246 ,74 ,63 ,39 ,36 ,34 ,49 ,16 ,12 ,10 ,3 ,8 ,14 ,
